 Counter value is: 14 	Fri Dec 10 12:24:06 2021
 Counter value is: 13 	Fri Dec 10 12:24:07 2021
 Counter value is: 12 	Fri Dec 10 12:24:08 2021
 Counter value is: 11 	Fri Dec 10 12:24:09 2021
 Counter value is: 10 	Fri Dec 10 12:24:10 2021
 Counter value is: 9 	Fri Dec 10 12:24:11 2021
 Counter value is: 8 	Fri Dec 10 12:24:12 2021
 Counter value is: 7 	Fri Dec 10 12:24:13 2021
 Counter value is: 6 	Fri Dec 10 12:24:14 2021
 Counter value is: 5 	Fri Dec 10 12:24:15 2021
 Counter value is: 4 	Fri Dec 10 12:24:16 2021
 Counter value is: 3 	Fri Dec 10 12:24:17 2021
 Counter value is: 2 	Fri Dec 10 12:24:18 2021
 Counter value is: 1 	Fri Dec 10 12:24:20 2021
 Counter value is: 60 	Fri Dec 10 12:24:21 2021
 Counter value is: 59 	Fri Dec 10 12:24:22 2021
 Counter value is: 58 	Fri Dec 10 12:24:23 2021
 Counter value is: 57 	Fri Dec 10 12:24:24 2021
 Counter value is: 56 	Fri Dec 10 12:24:25 2021
 Counter value is: 55 	Fri Dec 10 12:24:26 2021
 Counter value is: 54 	Fri Dec 10 12:24:27 2021
 Counter value is: 53 	Fri Dec 10 12:24:28 2021
 Counter value is: 52 	Fri Dec 10 12:24:29 2021
 Counter value is: 51 	Fri Dec 10 12:24:30 2021
 Counter value is: 50 	Fri Dec 10 12:24:31 2021
 Counter value is: 49 	Fri Dec 10 12:24:32 2021
 Counter value is: 48 	Fri Dec 10 12:24:33 2021
 Counter value is: 47 	Fri Dec 10 12:24:34 2021
 Counter value is: 46 	Fri Dec 10 12:24:35 2021
 Counter value is: 45 	Fri Dec 10 12:24:36 2021
 Counter value is: 44 	Fri Dec 10 12:24:37 2021
 Counter value is: 43 	Fri Dec 10 12:24:38 2021
 Counter value is: 42 	Fri Dec 10 12:24:39 2021
 Counter value is: 41 	Fri Dec 10 12:24:40 2021
 Counter value is: 40 	Fri Dec 10 12:24:41 2021
 Counter value is: 39 	Fri Dec 10 12:24:42 2021
 Counter value is: 38 	Fri Dec 10 12:24:43 2021
 Counter value is: 37 	Fri Dec 10 12:24:44 2021
